APPL_ID,WATER_RIGHT_TYPE,WATER_RIGHT_STATUS_2021,WATER_RIGHT_STATUS,RIPARIAN,BASIN,MAINSTEM,MAINSTEM_RR,UPPER_RUSSIAN,PRIORITY,ASSIGNED_PRIORITY_DATE_SUB,ASSIGNED_PRIORITY_DATE_SOURCE,PRIORITY_CLASS,JAN_MEAN_DIV,FEB_MEAN_DIV,MAR_MEAN_DIV,APR_MEAN_DIV,MAY_MEAN_DIV,JUN_MEAN_DIV,JUL_MEAN_DIV,AUG_MEAN_DIV,SEP_MEAN_DIV,OCT_MEAN_DIV,NOV_MEAN_DIV,DEC_MEAN_DIV,NULL_DEMAND,ZERO_DEMAND,MAY_SEPT_ZERO_DEMAND,DEMAND_ZEROED_POWER,DEMAND_ZEROED_OTHER,LATITUDE,LONGITUDE,QAQC_MODIFICATION,PRIMARY_USE,YEAR_ADDED
A016347,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,225,19550427,APPLICATION_ACCEPTANCE_DATE,1955-1956,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.32089839,-123.2201203,N,Irrigation,2021
A017091A,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,246,19560514,APPLICATION_ACCEPTANCE_DATE,1955-1956,2,2,2,0,0,0,0,0,0,0,0,2,N,N,Y,N,N,39.30522494,-123.1956388,N,Stockwatering,2021
A017091B,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,247,19560514,APPLICATION_ACCEPTANCE_DATE,1955-1956,8.973333333,10.61666667,5.3,2.633333333,1.733333333,0,0,0.013333333,0.246666667,0,1.733333333,2.673333333,N,N,N,N,N,39.304549,-123.2079976,N,Irrigation,2021
A017091C,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,248,19560514,APPLICATION_ACCEPTANCE_DATE,1955-1956,4.5,1,2.666666667,1.666666667,0,0,0,0,0,0,0,0,N,N,Y,N,N,39.30301422,-123.1970151,N,Irrigation,2021
A017240,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,253,19560815,APPLICATION_ACCEPTANCE_DATE,1955-1956,0,0,0,0,0,0.334366667,0.334366667,0.334366667,0.334366667,0,0,0,N,N,N,N,N,39.28636098,-123.1875458,N,Irrigation,2021
A017868,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,263,19571031,APPLICATION_ACCEPTANCE_DATE,1957-1959,0,0,1.666666667,0,0,0,0,0,0,0,0,0,N,N,Y,N,N,39.29298932,-123.2106269,N,Irrigation,2021
A018274A,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,275,19580819,APPLICATION_ACCEPTANCE_DATE,1957-1959,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.24916606,-123.1727943,N,Domestic,2021
A018274B,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,276,19580819,APPLICATION_ACCEPTANCE_DATE,1957-1959,1.8,0,0.75,1.25,0,0,0,0,0,0,0,1.1,N,N,Y,N,N,39.24887205,-123.1747318,N,Irrigation,2021
A018328,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,277,19580922,APPLICATION_ACCEPTANCE_DATE,1957-1959,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.27693779,-123.2227172,N,Recreational,2021
A018648,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,279,19590417,PRIORITY_DATE,1957-1959,0.25,0.25,0.5,0.7,0.733333333,0.5,0.666666667,0.5,0.4,0.216666667,0.1,0.066666667,N,N,N,N,N,39.33588865,-123.2308105,N,Irrigation,2021
A019336,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,286,19600401,APPLICATION_ACCEPTANCE_DATE,1960-1970,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.29177379,-123.221914,N,Recreational,2021
A020657,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,296,19620316,APPLICATION_ACCEPTANCE_DATE,1960-1970,8.733333333,7.483333333,4.133333333,2.4,1.42,0.4,0,0.013333333,0.246666667,0,1.733333333,3.14,N,N,N,N,N,39.29855649,-123.2033008,N,Irrigation,2021
A020791,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,299,19620524,APPLICATION_ACCEPTANCE_DATE,1960-1970,0,0,0,0,0,0,0,0,0,0.1,0,0.2,N,N,Y,N,N,39.27153594,-123.1872966,N,Irrigation,2021
A020872,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,303,19620726,APPLICATION_ACCEPTANCE_DATE,1960-1970,3.8,1.866666667,1.533333333,1.4,0.333333333,0,0,0,0,0,0.366666667,1,N,N,N,N,N,39.27129715,-123.1837599,N,Irrigation,2021
A020963,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,307,19621002,PRIORITY_DATE,1960-1970,0,1.5,3.333333333,6.5,5.666666667,4.333333333,4.666666667,4,2.666666667,2.333333333,1.666666667,0,N,N,N,N,N,39.32742262,-123.2264202,N,Irrigation,2021
A021121,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,309,19630116,APPLICATION_ACCEPTANCE_DATE,1960-1970,,,,,,,,,,,,,Y,N,N,N,N,39.25399044,-123.2113714,N,Irrigation,2021
A021429A,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,317,19630815,APPLICATION_ACCEPTANCE_DATE,1960-1970,68.33333333,0,0,0,0,0,0,0,0,0,0,27.33333333,N,N,Y,N,N,39.2146,-123.2239,N,Irrigation,2021
A021429B,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,318,19630815,APPLICATION_ACCEPTANCE_DATE,1960-1970,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.2147,-123.2237,N,Irrigation,2021
A021429C,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,319,19630815,APPLICATION_ACCEPTANCE_DATE,1960-1970,1.123666667,1.123666667,0.025,0.025,0.453333333,0.453333333,0.453333333,0.453333333,0.453333333,1.552,1.552,2.222333333,N,N,N,N,N,39.21215763,-123.2294547,N,Irrigation,2021
A021596,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,325,19640114,APPLICATION_ACCEPTANCE_DATE,1960-1970,0,0,0.000046,0.000046,0.000046,0.000092,0.000092,0.000092,0.000092,0,0,0,N,N,N,N,N,39.25982771,-123.2308982,N,Irrigation,2021
A021809,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,333,19640610,APPLICATION_ACCEPTANCE_DATE,1960-1970,0,1,5.486666667,6.536666667,2.666666667,1.833333333,2.333333333,1,1,0,0,0,N,N,N,N,N,39.26525016,-123.184365,N,Irrigation,2021
A021950,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,346,19641029,APPLICATION_ACCEPTANCE_DATE,1960-1970,7.333333333,6,5.666666667,3.666666667,3.333333333,0,0,0,0,0,0,1.333333333,N,N,N,N,N,39.2873678,-123.1897995,N,Irrigation,2021
A021966,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,347,19641119,APPLICATION_ACCEPTANCE_DATE,1960-1970,1.2,0,0,0,0,0,0,0,0,0,0.483333333,0.616666667,N,N,Y,N,N,39.23739539,-123.2096747,N,Irrigation,2021
A022277,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,354,19650831,APPLICATION_ACCEPTANCE_DATE,1960-1970,0,0,0,0.166666667,0,0,0,0,0,0,0,0,N,N,Y,N,N,39.24774526,-123.2045544,N,Irrigation,2021
A023282,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,383,19690520,APPLICATION_ACCEPTANCE_DATE,1960-1970,0.333333333,0.333333333,5,5,3.833333333,0,0,0,0,0,0,0,N,N,N,N,N,39.27828424,-123.1987158,N,Irrigation,2021
A023337,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,387,19690825,APPLICATION_ACCEPTANCE_DATE,1960-1970,8.293333333,6.233333333,4.133333333,2.4,1.42,0,0,0.013333333,0.013333333,0,1.733333333,2.973333333,N,N,N,N,N,39.29855649,-123.2033008,N,Irrigation,2021
A023399,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,391,19691117,APPLICATION_ACCEPTANCE_DATE,1960-1970,6,0,0,0,0,0,0,0,0,0,0,0,N,N,Y,N,N,39.27830592,-123.1965963,N,Irrigation,2021
A023408,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,392,19691209,APPLICATION_ACCEPTANCE_DATE,1960-1970,0,0,0,0,0,0,0,0,0,0,0,2.933333333,N,N,Y,N,N,39.29351581,-123.226008,N,Irrigation,2021
A023451,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,394,19700218,APPLICATION_ACCEPTANCE_DATE,1960-1970,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.27011301,-123.1922183,N,Irrigation,2021
A023488,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,396,19700427,APPLICATION_ACCEPTANCE_DATE,1960-1970,1.666666667,0.566666667,0.8,0,0,0,0,0,0,0,0.466666667,0.933333333,N,N,Y,N,N,39.23721426,-123.2139088,N,Irrigation,2021
A023489,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,397,19700427,PRIORITY_DATE,1960-1970,0.25,0.3,0.906666667,0.623333333,0.666666667,0.666666667,0.666666667,0.5,0.483333333,0.45,0.35,0.35,N,N,N,N,N,39.33588865,-123.2308105,N,Irrigation,2021
A023536,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,400,19700624,APPLICATION_ACCEPTANCE_DATE,1960-1970,1.333333333,1.666666667,2.666666667,2,1.333333333,0,0,0,0,0,0,0,N,N,N,N,N,39.27371689,-123.2155958,N,Irrigation,2021
A023558,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,402,19700714,APPLICATION_ACCEPTANCE_DATE,1960-1970,3,3.166666667,2.833333333,0,0,0,0,0,0,0,1.333333333,0.666666667,N,N,Y,N,N,39.2914258,-123.2024725,N,Irrigation,2021
A023605,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,404,19700911,APPLICATION_ACCEPTANCE_DATE,1960-1970,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.27584229,-123.195848,N,Irrigation,2021
A023615,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,405,19700922,APPLICATION_ACCEPTANCE_DATE,1960-1970,4.933333333,4.233333333,1.033333333,0.333333333,0,0,0,0,0,0,0.8,5,N,N,Y,N,N,39.24894292,-123.194863,N,Irrigation,2021
A023654A,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,407,19701214,APPLICATION_ACCEPTANCE_DATE,1960-1970,0,0,0,0.2478,0,0,0,0,0,0,0,0,N,N,Y,N,N,39.27181405,-123.186948,N,Irrigation,2021
A023654B,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,408,19701214,APPLICATION_ACCEPTANCE_DATE,1960-1970,3.666666667,4,5.6,5.666666667,4.333333333,5.333333333,3.666666667,2.666666667,2.666666667,2,0,0,N,N,N,N,N,39.27183194,-123.1851819,N,Irrigation,2021
A023707,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,419,19710223,APPLICATION_ACCEPTANCE_DATE,1971-1990,0.666666667,1.333333333,2,0.666666667,0.333333333,0.333333333,0.333333333,0.333333333,0,0,0,0.666666667,N,N,N,N,N,39.29352012,-123.2124029,N,Irrigation,2021
A023737,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,420,19710324,APPLICATION_ACCEPTANCE_DATE,1971-1990,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.2689,-123.2123,N,Irrigation,2021
A023748,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,421,19710405,APPLICATION_ACCEPTANCE_DATE,1971-1990,10,10.16666667,11.33333333,5.466666667,4.733333333,1.333333333,0,0,0,0,2.333333333,7,N,N,N,N,N,39.2873678,-123.1897995,N,Irrigation,2021
A023792,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,422,19710528,APPLICATION_ACCEPTANCE_DATE,1971-1990,0,0,1,1,0.666666667,0,0,0,0,0,0,0,N,N,N,N,N,39.27025598,-123.1780902,N,Irrigation,2021
A023802,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,425,19710608,APPLICATION_ACCEPTANCE_DATE,1971-1990,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.23579003,-123.2055867,N,Irrigation,2021
A023836,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,428,19710804,APPLICATION_ACCEPTANCE_DATE,1971-1990,3,0.666666667,1,0,0,0,0,0,0,0,1,2.333333333,N,N,Y,N,N,39.28509695,-123.2037781,N,Irrigation,2021
A023868,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,431,19710917,APPLICATION_ACCEPTANCE_DATE,1971-1990,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.2288201,-123.2024669,N,Irrigation,2021
A023869,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,760,20020221,APPLICATION_RECD_DATE,1991-PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.30222308,-123.2233636,N,Irrigation,2021
A023895,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,433,19711013,APPLICATION_ACCEPTANCE_DATE,1971-1990,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.25999975,-123.2406146,N,Irrigation,2021
A023949,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,438,19711214,APPLICATION_ACCEPTANCE_DATE,1971-1990,2,1.333333333,0,3.202362,0,0,0,0,0,0,0,0,N,N,Y,N,N,39.2089285,-123.2008936,N,Frost Protection,2021
A024010,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,439,19720331,APPLICATION_ACCEPTANCE_DATE,1971-1990,0,0,0.013333333,0.653333333,0.136666667,1.333333333,2.22,1.85,0,0,0,0,N,N,N,N,N,39.2721,-123.1706,N,Irrigation,2021
A024025,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,443,19720410,APPLICATION_ACCEPTANCE_DATE,1971-1990,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.27005534,-123.1978696,N,Irrigation,2021
A024028,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,444,19720412,APPLICATION_RECD_DATE,1971-1990,22.33333333,3.666666667,0,0,0,0,0,0,0,0,0,6,N,N,Y,N,N,39.2171,-123.216,N,Irrigation,2021
A024044,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,445,19720414,APPLICATION_ACCEPTANCE_DATE,1971-1990,3.656666667,4.623333333,2.153333333,1.466666667,0,0,0,0,0,0,0.49,0.46,N,N,Y,N,N,39.26410548,-123.1889378,N,Irrigation,2021
A024056,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,449,19720501,APPLICATION_ACCEPTANCE_DATE,1971-1990,10.33333333,10.33333333,9,6,3.333333333,0,0,0,0,0,0,0,N,N,N,N,N,39.27677341,-123.2121154,N,Irrigation,2021
A024104,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,451,19720630,APPLICATION_ACCEPTANCE_DATE,1971-1990,2,2,1,1,0,0,0,0,0,0,0,1,N,N,Y,N,N,39.279661,-123.2248842,N,Irrigation,2021
A024126,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,452,19720724,APPLICATION_ACCEPTANCE_DATE,1971-1990,4.333333333,4,4.333333333,3.333333333,1.666666667,0,0,0,0,0,0,2.666666667,N,N,N,N,N,39.29202194,-123.1978888,N,Irrigation,2021
A024130,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,453,19720727,APPLICATION_RECD_DATE,1971-1990,19.33333333,9.666666667,4.333333333,0,0,0,0,0,0,0,0,3.333333333,N,N,Y,N,N,39.2103,-123.2131,N,Irrigation,2021
A024344,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,471,19730405,APPLICATION_ACCEPTANCE_DATE,1971-1990,2,0.5,0,0,0,0,0,0,0,0,0.5,1.5,N,N,Y,N,N,39.2411095,-123.1956135,Y,Irrigation,2021
A024405,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,478,19730629,APPLICATION_ACCEPTANCE_DATE,1971-1990,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.29255655,-123.1993114,N,Irrigation,2021
A024425,Appropriative,Permitted,Permitted,N,R_01,N,N,Y,480,19730731,APPLICATION_ACCEPTANCE_DATE,1971-1990,18.73333333,24.90333333,22.58333333,27.7,14.23333333,0,0,0,0,0,0.766666667,2.766666667,N,N,N,N,N,39.2623,-123.1901,N,Irrigation,2021
A024488,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,482,19731010,APPLICATION_ACCEPTANCE_DATE,1971-1990,1.63,0.04,0.616666667,0.1,0.073333333,0,0,0,0,0,0.433333333,0.103333333,N,N,N,N,N,39.29855649,-123.2033008,N,Irrigation,2021
A024502,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,483,19731116,APPLICATION_ACCEPTANCE_DATE,1971-1990,1.666666667,1.333333333,0.4,0,0,0,0,0,0,0,0,0,N,N,Y,N,N,39.23941791,-123.2132404,N,Irrigation,2021
A024725,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,496,19741217,APPLICATION_ACCEPTANCE_DATE,1971-1990,3.333333333,3.333333333,4,4.333333333,1,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.333333333,0,N,N,N,N,N,39.2935,-123.2107,N,Irrigation,2021
A024774,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,499,19750311,APPLICATION_ACCEPTANCE_DATE,1971-1990,0.135835,0.135835,0.135835,0.135835,0,0.412035,0.412035,0.412035,0.412035,0.412035,0.120491,0.120491,N,N,N,N,N,39.2457,-123.221,Y,Irrigation,2021
A024805,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,504,19750506,APPLICATION_ACCEPTANCE_DATE,1971-1990,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.2545,-123.2269,N,Irrigation,2021
A024959,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,529,19751217,APPLICATION_ACCEPTANCE_DATE,1971-1990,0.766666667,0.733333333,0,0,0,0,0,0,0,0,0,1.45,N,N,Y,N,N,39.24772708,-123.2063199,N,Irrigation,2021
A024996,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,537,19760218,APPLICATION_ACCEPTANCE_DATE,1971-1990,0.9,0,0,0,0,0,0,0,0,0,0,0,N,N,Y,N,N,39.27113631,-123.1724526,N,Frost Protection,2021
A025334,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,557,19770421,APPLICATION_ACCEPTANCE_DATE,1971-1990,8,0,0,0,0,0,0,0,0,0,0,0,N,N,Y,N,N,39.26816988,-123.1763774,N,Irrigation,2021
A025600,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,561,19771128,APPLICATION_RECD_DATE,1971-1990,22.66666667,0,0,0,0,0,0,0,0,0,0,11.33333333,N,N,Y,N,N,39.21459347,-123.2239339,N,Irrigation,2021
A025740,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,568,19780516,APPLICATION_ACCEPTANCE_DATE,1971-1990,8.6,0,0,0,0,0,0,0,0,0,0,0,N,N,Y,N,N,39.27025598,-123.1780902,N,Irrigation,2021
A025823A01,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,574,19780914,APPLICATION_RECD_DATE,1971-1990,0.666666667,1,0,0,0,0,0,0,0,0,0,0.666666667,N,N,Y,N,N,39.2596,-123.2399,N,Irrigation,2021
A025823A02,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,575,19780914,APPLICATION_ACCEPTANCE_DATE,1971-1990,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.2616,-123.2435,N,Irrigation,2021
A025823A03,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,576,19780914,APPLICATION_RECD_DATE,1971-1990,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.255,-123.2399,N,Irrigation,2021
A025823B,Appropriative,Permitted,Permitted,N,R_01,N,N,Y,577,19780914,APPLICATION_ACCEPTANCE_DATE,1971-1990,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.25479477,-123.2394637,N,Frost Protection,2021
A026022A,Appropriative,Permitted,Permitted,N,R_01,N,N,Y,584,19790612,APPLICATION_ACCEPTANCE_DATE,1971-1990,20.16666667,0,0,0,0,0,0,0,0,0,0,0,N,N,Y,N,N,39.28233226,-123.2319971,N,Irrigation,2021
A026022B,Appropriative,Permitted,Permitted,N,R_01,N,N,Y,585,19790612,APPLICATION_ACCEPTANCE_DATE,1971-1990,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.28233226,-123.2319971,N,Frost Protection,2021
A026055A,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,586,19790726,APPLICATION_ACCEPTANCE_DATE,1971-1990,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.31656375,-123.2276456,N,Irrigation,2021
A026055B,Appropriative,Permitted,Permitted,N,R_01,N,N,Y,587,19790726,APPLICATION_ACCEPTANCE_DATE,1971-1990,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.31656375,-123.2276456,N,Frost Protection,2021
A026079,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,588,19790830,APPLICATION_ACCEPTANCE_DATE,1971-1990,0.51,0.51,0,0,0,0,0,0,0,0,0,0.17,N,N,Y,N,N,39.24628507,-123.2130051,N,Irrigation,2021
A026110,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,589,19791010,APPLICATION_ACCEPTANCE_DATE,1971-1990,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.24365437,-123.2018363,N,Irrigation,2021
A026143,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,591,19791203,APPLICATION_ACCEPTANCE_DATE,1971-1990,2.733333333,0.333333333,0.533333333,0,0,0,0,0,0,0,0,0,N,N,Y,N,N,39.29344869,-123.1926123,N,Irrigation,2021
A026201,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,596,19800213,APPLICATION_ACCEPTANCE_DATE,1971-1990,0,0,0,0,0,0,0,0,0,0,0,0.0006905,N,N,Y,N,N,39.29651719,-123.2278271,N,Frost Protection,2021
A026250,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,598,19800310,APPLICATION_ACCEPTANCE_DATE,1971-1990,1.833333333,3,1.833333333,0.666666667,0,0,0,0,0,0,0,0,N,N,Y,N,N,39.27677341,-123.2121154,N,Irrigation,2021
A026927,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,606,19810721,APPLICATION_ACCEPTANCE_DATE,1971-1990,0.5,0.466666667,0.8,0,0.666666667,0,0,0,0,0.083333333,1.833333333,2.333333333,N,N,N,N,N,39.2270374,-123.2022601,N,Irrigation,2021
A027036,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,608,19811007,APPLICATION_ACCEPTANCE_DATE,1971-1990,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.2545,-123.2269,N,Irrigation,2021
A027301,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,611,19820419,APPLICATION_RECD_DATE,1971-1990,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.2714,-123.254,N,Irrigation,2021
A027460,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,614,19820729,APPLICATION_ACCEPTANCE_DATE,1971-1990,0,0,0,0,0.002148333,0.002148333,0.002148333,0.002148333,0.002148333,0.002148333,0,0.166666667,N,N,N,N,N,39.25195207,-123.1687791,N,Irrigation,2021
A027791,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,622,19830706,APPLICATION_ACCEPTANCE_DATE,1971-1990,8.626666667,7.566666667,4.466666667,3.066666667,1.42,0,0,0.013333333,0.013333333,0,2.4,3.64,N,N,N,N,N,39.30100188,-123.2058164,N,Irrigation,2021
A028127,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,630,19840430,APPLICATION_ACCEPTANCE_DATE,1971-1990,16,21.33333333,4.666666667,0,0,0,0,0,0,0,4.666666667,2.333333333,N,N,Y,N,N,39.32366792,-123.319334,N,Irrigation,2021
