USER,RIPARIAN,BASIN,MAINSTEM_RR,UPPER_RUSSIAN,PRIORITY,PRIORITY_CLASS,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,NULL_DEMAND,ZERO_DEMAND,MAY_SEPT_ZERO_DEMAND
A017091A,N,R_01,N,Y,246,1955-1956,2.0,2.0,2.0,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,2.0,N,N,Y
A017091B,N,R_01,N,Y,247,1955-1956,8.973333333,10.61666667,5.3,2.633333333,1.733333333,0.0002022,0.0002022,0.013333333000000001,0.246666667,0.0002022,1.733333333,2.673333333,N,N,N
A017091C,N,R_01,N,Y,248,1955-1956,4.5,1.0,2.666666667,1.6666666669999999,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A017240,N,R_01,N,Y,253,1955-1956,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.334366667,0.334366667,0.334366667,0.334366667,0.0002022,0.0002022,0.0002022,N,N,N
A017868,N,R_01,N,Y,263,1957-1959,0.0002022,0.0002022,1.6666666669999999,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A018274A,N,R_01,N,Y,275,1957-1959,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A018274B,N,R_01,N,Y,276,1957-1959,1.8,0.0002022,0.75,1.25,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,1.1,N,N,Y
A018328,N,R_01,N,Y,277,1957-1959,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A018648,N,R_01,N,Y,279,1957-1959,0.25,0.25,0.5,0.7,0.7333333329999999,0.5,0.666666667,0.5,0.4,0.21666666699999998,0.1,0.066666667,N,N,N
A019336,N,R_01,N,Y,286,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A020657,N,R_01,N,Y,296,1960-1970,8.733333333,7.483333332999999,4.133333333,2.4,1.42,0.4,0.0002022,0.013333333000000001,0.246666667,0.0002022,1.733333333,3.14,N,N,N
A020791,N,R_01,N,Y,299,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.1,0.0002022,0.2,N,N,Y
A020872,N,R_01,N,Y,303,1960-1970,3.8,1.8666666669999998,1.533333333,1.4,0.333333333,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.36666666700000006,1.0,N,N,N
A020963,N,R_01,N,Y,307,1960-1970,0.0002022,1.5,3.333333333,6.5,5.666666667,4.333333333,4.666666667,4.0,2.666666667,2.333333333,1.6666666669999999,0.0002022,N,N,N
A021121,N,R_01,N,Y,309,1960-1970,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,Y,N,N
A021429A,N,R_01,N,Y,317,1960-1970,68.33333333,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,27.33333333,N,N,Y
A021429B,N,R_01,N,Y,318,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A021429C,N,R_01,N,Y,319,1960-1970,1.123666667,1.123666667,0.025,0.025,0.45333333299999995,0.45333333299999995,0.45333333299999995,0.45333333299999995,0.45333333299999995,1.5519999999999998,1.5519999999999998,2.222333333,N,N,N
A021596,N,R_01,N,Y,325,1960-1970,0.0002022,0.0002022,4.6e-05,4.6e-05,4.6e-05,9.2e-05,9.2e-05,9.2e-05,9.2e-05,0.0002022,0.0002022,0.0002022,N,N,N
A021809,N,R_01,N,Y,333,1960-1970,0.0002022,1.0,5.486666667000001,6.536666667,2.666666667,1.8333333330000001,2.333333333,1.0,1.0,0.0002022,0.0002022,0.0002022,N,N,N
A021950,N,R_01,N,Y,346,1960-1970,7.333333333,6.0,5.666666667,3.666666667,3.333333333,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,1.333333333,N,N,N
A021966,N,R_01,N,Y,347,1960-1970,1.2,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.483333333,0.6166666670000001,N,N,Y
A022277,N,R_01,N,Y,354,1960-1970,0.0002022,0.0002022,0.0002022,0.166666667,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A023282,N,R_01,N,Y,383,1960-1970,0.333333333,0.333333333,5.0,5.0,3.833333333,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A023337,N,R_01,N,Y,387,1960-1970,8.293333333,6.233333332999999,4.133333333,2.4,1.42,0.0002022,0.0002022,0.013333333000000001,0.013333333000000001,0.0002022,1.733333333,2.9733333330000002,N,N,N
A023399,N,R_01,N,Y,391,1960-1970,6.0,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A023408,N,R_01,N,Y,392,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,2.933333333,N,N,Y
A023451,N,R_01,N,Y,394,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A023488,N,R_01,N,Y,396,1960-1970,1.6666666669999999,0.566666667,0.8,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.46666666700000003,0.933333333,N,N,Y
A023489,N,R_01,N,Y,397,1960-1970,0.25,0.3,0.906666667,0.6233333329999999,0.666666667,0.666666667,0.666666667,0.5,0.483333333,0.45,0.35,0.35,N,N,N
A023536,N,R_01,N,Y,400,1960-1970,1.333333333,1.6666666669999999,2.666666667,2.0,1.333333333,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A023558,N,R_01,N,Y,402,1960-1970,3.0,3.166666667,2.833333333,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,1.333333333,0.666666667,N,N,Y
A023605,N,R_01,N,Y,404,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A023615,N,R_01,N,Y,405,1960-1970,4.933333333,4.233333333,1.033333333,0.333333333,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.8,5.0,N,N,Y
A023654A,N,R_01,N,Y,407,1960-1970,0.0002022,0.0002022,0.0002022,0.2478,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A023654B,N,R_01,N,Y,408,1960-1970,3.666666667,4.0,5.6,5.666666667,4.333333333,5.333333333,3.666666667,2.666666667,2.666666667,2.0,0.0002022,0.0002022,N,N,N
A023707,N,R_01,N,Y,419,1971-1990,0.666666667,1.333333333,2.0,0.666666667,0.333333333,0.333333333,0.333333333,0.333333333,0.0002022,0.0002022,0.0002022,0.666666667,N,N,N
A023737,N,R_01,N,Y,420,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A023748,N,R_01,N,Y,421,1971-1990,10.0,10.16666667,11.33333333,5.466666667,4.733333333,1.333333333,0.0002022,0.0002022,0.0002022,0.0002022,2.333333333,7.0,N,N,N
A023792,N,R_01,N,Y,422,1971-1990,0.0002022,0.0002022,1.0,1.0,0.666666667,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A023802,N,R_01,N,Y,425,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A023836,N,R_01,N,Y,428,1971-1990,3.0,0.666666667,1.0,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,1.0,2.333333333,N,N,Y
A023868,N,R_01,N,Y,431,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A023869,N,R_01,N,Y,760,1991-PRESENT,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A023895,N,R_01,N,Y,433,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A023949,N,R_01,N,Y,438,1971-1990,2.0,1.333333333,0.0002022,3.202362,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A024010,N,R_01,N,Y,439,1971-1990,0.0002022,0.0002022,0.013333333000000001,0.653333333,0.136666667,1.333333333,2.22,1.85,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A024025,N,R_01,N,Y,443,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A024028,N,R_01,N,Y,444,1971-1990,22.33333333,3.666666667,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,6.0,N,N,Y
A024044,N,R_01,N,Y,445,1971-1990,3.656666667,4.623333333,2.153333333,1.466666667,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.49,0.46,N,N,Y
A024056,N,R_01,N,Y,449,1971-1990,10.33333333,10.33333333,9.0,6.0,3.333333333,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A024104,N,R_01,N,Y,451,1971-1990,2.0,2.0,1.0,1.0,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,1.0,N,N,Y
A024126,N,R_01,N,Y,452,1971-1990,4.333333333,4.0,4.333333333,3.333333333,1.6666666669999999,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,2.666666667,N,N,N
A024130,N,R_01,N,Y,453,1971-1990,19.33333333,9.666666667000001,4.333333333,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,3.333333333,N,N,Y
A024344,N,R_01,N,Y,471,1971-1990,2.0,0.5,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.5,1.5,N,N,Y
A024405,N,R_01,N,Y,478,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A024425,N,R_01,N,Y,480,1971-1990,18.73333333,24.90333333,22.58333333,27.7,14.23333333,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.7666666670000001,2.766666667,N,N,N
A024488,N,R_01,N,Y,482,1971-1990,1.63,0.04,0.6166666670000001,0.1,0.073333333,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.433333333,0.10333333300000001,N,N,N
A024502,N,R_01,N,Y,483,1971-1990,1.6666666669999999,1.333333333,0.4,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A024725,N,R_01,N,Y,496,1971-1990,3.333333333,3.333333333,4.0,4.333333333,1.0,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.333333333,0.0002022,N,N,N
A024774,N,R_01,N,Y,499,1971-1990,0.13583499999999998,0.13583499999999998,0.13583499999999998,0.13583499999999998,0.0002022,0.41203500000000004,0.41203500000000004,0.41203500000000004,0.41203500000000004,0.41203500000000004,0.12049100000000001,0.12049100000000001,N,N,N
A024805,N,R_01,N,Y,504,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A024959,N,R_01,N,Y,529,1971-1990,0.7666666670000001,0.7333333329999999,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,1.45,N,N,Y
A024996,N,R_01,N,Y,537,1971-1990,0.9,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A025334,N,R_01,N,Y,557,1971-1990,8.0,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A025600,N,R_01,N,Y,561,1971-1990,22.66666667,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,11.33333333,N,N,Y
A025740,N,R_01,N,Y,568,1971-1990,8.6,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A025823A01,N,R_01,N,Y,574,1971-1990,0.666666667,1.0,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.666666667,N,N,Y
A025823A02,N,R_01,N,Y,575,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A025823A03,N,R_01,N,Y,576,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A025823B,N,R_01,N,Y,577,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A026022A,N,R_01,N,Y,584,1971-1990,20.16666667,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A026022B,N,R_01,N,Y,585,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A026055A,N,R_01,N,Y,586,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A026055B,N,R_01,N,Y,587,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A026079,N,R_01,N,Y,588,1971-1990,0.51,0.51,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.17,N,N,Y
A026110,N,R_01,N,Y,589,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A026143,N,R_01,N,Y,591,1971-1990,2.733333333,0.333333333,0.533333333,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A026201,N,R_01,N,Y,596,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0006905,N,N,Y
A026250,N,R_01,N,Y,598,1971-1990,1.8333333330000001,3.0,1.8333333330000001,0.666666667,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A026927,N,R_01,N,Y,606,1971-1990,0.5,0.46666666700000003,0.8,0.0002022,0.666666667,0.0002022,0.0002022,0.0002022,0.0002022,0.083333333,1.8333333330000001,2.333333333,N,N,N
A027036,N,R_01,N,Y,608,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A027301,N,R_01,N,Y,611,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A027460,N,R_01,N,Y,614,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.002148333,0.002148333,0.002148333,0.002148333,0.002148333,0.002148333,0.0002022,0.166666667,N,N,N
A027791,N,R_01,N,Y,622,1971-1990,8.626666667,7.566666667000001,4.466666667,3.066666667,1.42,0.0002022,0.0002022,0.013333333000000001,0.013333333000000001,0.0002022,2.4,3.64,N,N,N
A028127,N,R_01,N,Y,630,1971-1990,16.0,21.33333333,4.666666667,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,4.666666667,2.333333333,N,N,Y
A028632,N,R_01,N,Y,634,1971-1990,0.083333333,0.083333333,0.083333333,0.023333332999999998,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.04,0.1,0.1,N,N,Y
A028633,N,R_01,N,Y,635,1971-1990,0.083333333,0.07,0.053333333,0.053333333,0.003333333,0.0002022,0.0002022,0.0002022,0.0002022,0.016666667,0.07,0.10333333300000001,N,N,N
A028635,N,R_01,N,Y,636,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A028636,N,R_01,N,Y,637,1971-1990,0.26666666699999997,0.26666666699999997,0.26666666699999997,0.133333333,0.166666667,0.033333333,0.033333333,0.033333333,0.033333333,0.26666666699999997,0.333333333,0.833333333,N,N,N
A028640,N,R_01,N,Y,638,1971-1990,0.46033,0.46033,0.46033,0.46033,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.46033,0.46033,N,N,Y
A028641,N,R_01,N,Y,639,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A028642,N,R_01,N,Y,640,1971-1990,0.566666667,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A028643,N,R_01,N,Y,641,1971-1990,0.666666667,0.666666667,0.333333333,0.2,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.033333333,0.26666666699999997,0.5,N,N,Y
A028647,N,R_01,N,Y,642,1971-1990,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,Y,N,N
A028648,N,R_01,N,Y,643,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0023785,0.0029614999999999997,0.0029614999999999997,0.0029155,0.0027235,0.0002022,0.0002022,N,N,N
A028649,N,R_01,N,Y,644,1971-1990,0.076446667,0.076446667,0.076446667,0.076446667,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.011113333000000001,0.07643333299999999,N,N,Y
A028650,N,R_01,N,Y,645,1971-1990,0.7,0.7,0.7,0.7,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.7,0.7,N,N,Y
A028651,N,R_01,N,Y,646,1971-1990,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,Y,N,N
A028653,N,R_01,N,Y,647,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A028676,N,R_01,N,Y,649,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A028715,N,R_01,N,Y,650,1971-1990,0.24,0.24,0.24,0.10333333300000001,0.07,0.07,0.07,0.07,0.31,0.24,0.24,0.24,N,N,N
A028738,N,R_01,N,Y,651,1971-1990,0.23806666699999998,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.5561520000000001,0.305780997,N,N,Y
A028786,N,R_01,N,Y,652,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A028787,N,R_01,N,Y,653,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,6.767,1.1,0.433,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A028925,N,R_01,N,Y,659,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A028926,N,R_01,N,Y,660,1971-1990,3.843333333,0.0002022,1.3,0.066666667,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A028927,N,R_01,N,Y,661,1971-1990,0.11,0.0002022,1.33,0.546666667,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,2.766666667,6.303333332999999,N,N,Y
A029202,N,R_01,N,Y,666,1971-1990,46.56666667,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A029203,N,R_01,N,Y,667,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A029401,N,R_01,N,Y,674,1971-1990,6.666666667,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A029480,N,R_01,N,Y,685,1971-1990,2.3,3.7766666669999998,0.0002022,0.706666667,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A029595,N,R_01,N,Y,689,1971-1990,3.583333333,0.0002022,0.25,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,1.066666667,N,N,Y
A029719,N,R_01,N,Y,695,1971-1990,17.33333333,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A030349,N,R_01,N,Y,709,1991-PRESENT,3.843333333,0.0002022,1.3,0.066666667,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A030363,N,R_01,N,Y,712,1991-PRESENT,0.0002022,3.016666667,5.766666667000001,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A031059,N,R_01,N,Y,748,1991-PRESENT,0.0002022,0.0002022,0.0002022,0.26666666699999997,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A031060,N,R_01,N,Y,749,1991-PRESENT,2.933333333,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,5.7,N,N,Y
A031259,N,R_01,N,Y,759,1991-PRESENT,6.65,1.45,4.2,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,1.0,4.35,N,N,Y
A031435,N,R_01,N,Y,782,1991-PRESENT,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,Y,N,N
D029448,N,R_01,N,Y,682,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
D029572,N,R_01,N,Y,688,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
D030346,N,R_01,N,Y,711,1991-PRESENT,0.10666666699999999,0.10666666699999999,0.10333333300000001,0.10333333300000001,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.10666666699999999,0.10666666699999999,N,N,N
