APPL_ID,WATER_RIGHT_TYPE,WATER_RIGHT_STATUS_2021,WATER_RIGHT_STATUS,RIPARIAN,BASIN,MAINSTEM,UPPER_RUSSIAN,PRIORITY,ASSIGNED_PRIORITY_DATE_SUB,ASSIGNED_PRIORITY_DATE_SOURCE,PRIORITY_CLASS,JAN_MEAN_DIV,FEB_MEAN_DIV,MAR_MEAN_DIV,APR_MEAN_DIV,MAY_MEAN_DIV,JUN_MEAN_DIV_ALL,JUN_MEAN_DIV,JUL_MEAN_DIV,AUG_MEAN_DIV,SEP_MEAN_DIV,OCT_MEAN_DIV,NOV_MEAN_DIV,DEC_MEAN_DIV,NULL_DEMAND,ZERO_DEMAND,MAY_SEPT_ZERO_DEMAND,DEMAND_ZEROED_POWER,DEMAND_ZEROED_OTHER,LATITUDE,LONGITUDE,QAQC_MODIFICATION,PRIMARY_USE,YEAR_ADDED
A004308,Appropriative,Licensed,Licensed,N,R_05_MSRR,Y,Y,61,19241107,APPLICATION_RECD_DATE,PRE-1949+1949,0,0,0,0,0,2.69,1.345,2.61,2.16,1.3,0,0,0,N,N,N,N,N,39.08,-123.17,N,Irrigation,2021
A004612,Appropriative,Licensed,Licensed,N,R_16,N,N,34,19250601,APPLICATION_RECD_DATE,PRE-1949+1949,0,0,0,6.67E-04,7.00E-04,7.00E-04,0.00035,7.00E-04,7.00E-04,7.00E-04,6.67E-04,0,0,N,N,N,N,N,38.59,-122.9,N,Irrigation,2021
A004832,Appropriative,Licensed,Licensed,N,R_04_MSRR,Y,Y,62,19251112,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,6.33,3.165,16.33,10.46,0,0,0,0,N,N,N,N,N,39.15,-123.18,N,Irrigation,2021
A006464,Appropriative,Licensed,Licensed,N,R_01,N,Y,63,19291021,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.29,-123.2,N,Irrigation,2021
A006642,Appropriative,Licensed,Licensed,N,R_01,N,Y,64,19300416,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.24,-123.2,N,Irrigation,2021
A006805A,Appropriative,Licensed,Licensed,N,R_01,N,Y,65,19300926,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.28,-123.21,N,Irrigation,2021
A006854,Appropriative,Licensed,Licensed,N,R_05_MSRR,Y,Y,66,19301226,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.1,-123.18,N,Irrigation,2021
A006855,Appropriative,Licensed,Licensed,N,R_05_MSRR,Y,Y,67,19301226,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0.18,2.47,1.235,4.01,3.15,0,0,0,0,N,N,N,N,N,39.1,-123.18,N,Irrigation,2021
A006926,Appropriative,Licensed,Licensed,N,R_24,N,N,35,19310328,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,8.13E-03,N,N,N,N,N,38.54,-122.6,N,Domestic,2021
A007006,Appropriative,Licensed,Licensed,N,R_19,N,N,36,19310714,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,38.51,-122.92,N,Domestic,2021
A008974,Appropriative,Licensed,Licensed,N,R_09_MSRR,Y,Y,68,19370517,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,38.72,-122.9,N,Irrigation,2021
A009746,Appropriative,Licensed,Licensed,N,R_19,N,N,37,19391003,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,9.21E-03,9.21E-03,9.21E-03,0.01,0.02,0.02,0.01,0.02,0.02,0.01,0.01,9.21E-03,9.21E-03,N,N,N,N,N,38.51,-122.93,N,Domestic,2021
A009774,Appropriative,Licensed,Licensed,N,R_20,N,N,38,19391127,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,3.68E-03,3.68E-03,3.68E-03,3.68E-03,3.68E-03,4.60E-03,0.0023015,4.60E-03,4.60E-03,4.60E-03,4.30E-03,3.68E-03,3.68E-03,N,N,N,N,N,38.51,-123.11,N,Domestic,2021
A009832A,Appropriative,Licensed,Licensed,N,R_01,N,Y,69,19400220,APPLICATION_RECD_DATE,PRE-1949+1949,0,0,0,0,6.60E-03,6.44E-03,0.003222334,8.24E-03,8.29E-03,9.56E-03,3.58E-04,0,0,N,N,N,N,N,39.27,-123.2,N,Irrigation,2021
A009832B,Appropriative,Licensed,Licensed,N,R_01,N,Y,70,19400220,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.27,-123.2,N,Irrigation,2021
A009992,Appropriative,Licensed,Licensed,N,R_19,N,N,39,19400828,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,38.51,-122.93,N,Domestic,2021
A010795,Appropriative,Licensed,Licensed,N,R_18_MSRR,Y,N,40,19440407,PRIORITY_DATE,PRE-1949+1949,0,0,0,0,0,10.43,5.215,43.06,38.23,37.16,4.96,0,0,N,N,N,N,N,38.51,-122.88,N,Irrigation,2021
A010915,Appropriative,Licensed,Licensed,N,R_18,N,N,41,19441115,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,38.38,-122.88,N,Irrigation,2021
A010976,Appropriative,Licensed,Licensed,N,R_18_MSRR,Y,N,42,19450208,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,38.51,-122.87,N,Irrigation,2021
A011315,Appropriative,Licensed,Licensed,N,R_18,N,N,43,19460313,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0.07,0.2,0.1,0.24,0.47,0.11,0.03,0,0,N,N,N,N,N,38.39,-122.88,N,Irrigation,2021
A011327,Appropriative,Licensed,Licensed,N,R_16,N,N,44,19460325,APPLICATION_RECD_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,38.58,-122.9,N,Domestic,2021
A011383,Appropriative,Licensed,Licensed,N,R_02_MSRR,Y,Y,71,19460423,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,2.66,1.33,10.19,19.45,21.71,9.6,0,0,N,N,N,N,N,39.33,-123.1,N,Irrigation,2021
A011846,Appropriative,Licensed,Licensed,N,R_09_MSRR,Y,Y,72,19470428,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0.66,2.5,3,3.33,1.665,3.66,4.33,2.66,3.33,2.33,0,N,N,N,N,N,38.83,-123.01,N,Irrigation,2021
A011859,Appropriative,Licensed,Licensed,N,R_24,N,N,45,19470507,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,,,,,,,0,,,,,,,Y,N,N,N,N,38.49,-122.63,N,Domestic,2021
A012100,Appropriative,Licensed,Licensed,N,R_27,N,N,46,19470922,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,3,2,1,1,0,0,0,0,0,0,1,1,2,N,N,Y,N,N,38.39,-122.66,N,Domestic,2021
A012232,Appropriative,Licensed,Licensed,N,R_05,N,Y,73,19480108,APPLICATION_RECD_DATE,PRE-1949+1949,36.3,1.1,0,0,0,0,0,0,0.63,0,4.93,29.8,31.16,N,N,N,N,N,39.03,-123.19,N,Irrigation,2021
A012330,Appropriative,Licensed,Licensed,N,R_18,N,N,47,19480216,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,38.43,-122.89,N,Irrigation,2021
A012452,Appropriative,Licensed,Licensed,N,R_18_MSRR,Y,N,48,19480329,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0.1,0.13,0,0,0,0,N,N,N,N,N,38.49,-122.88,N,Irrigation,2021
A012483,Appropriative,Licensed,Licensed,N,R_25,N,N,49,19480423,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0.08,1.06,1.00E-04,0.00005,0,0.03,0,0,0,0,N,N,N,N,N,38.37,-122.78,N,Irrigation,2021
A012510,Appropriative,Licensed,Licensed,N,R_25,N,N,50,19480514,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,38.46,-122.83,N,Irrigation,2021
A012525,Appropriative,Licensed,Licensed,N,R_11,N,Y,74,19480527,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,38.65,-122.73,N,Irrigation,2021
A012773,Appropriative,Licensed,Licensed,N,R_24,N,N,51,19481103,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,38.54,-122.66,N,Recreational,2021
A012850,Appropriative,Licensed,Licensed,N,R_12,N,Y,278,19581206,APPLICATION_ACCEPTANCE_DATE,1957-1959,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,38.62,-122.77,N,Irrigation,2021
A012877,Appropriative,Licensed,Licensed,N,R_18,N,N,52,19481223,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,38.46,-122.89,N,Irrigation,2021
A012919A,Appropriative,Permitted,Permitted,N,R_03_MSRR,Y,Y,10000,19490128,APPLICATION_ACCEPTANCE_DATE,SCWA + RRFC (1949),9523.33,4503.33,8425.33,12960.66,1804.33,0,0,0,0,0,592.33,1159.33,5230.33,N,N,N,N,N,38.55,-122.85,N,IRR_MUN,2021
A012919B,Appropriative,Licensed,Licensed,N,R_03_MSRR,Y,Y,76,19490128,APPLICATION_RECD_DATE,SCWA + RRFC (1949),25.36,40.55,100.77,73.16,147.08,444.88,222.44,992.43,1228.91,833.22,522.38,193.65,55.67,N,N,N,N,N,38.92,-123.05,N,IRR_MUN,2021
A012951,Appropriative,Licensed,Licensed,N,R_09,N,Y,77,19490224,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,6.33,9,4.66,7.33,3.665,0.66,0,0,0,0,0,N,N,N,N,N,38.75,-123.03,N,Irrigation,2021
A012958,Appropriative,Licensed,Licensed,N,R_04_MSRR,Y,Y,78,19490303,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,2,18.43,9.215,18.31,43.33,20.1,0,0,0,N,N,N,N,N,39.15,-123.18,N,Irrigation,2021
A013030A,Appropriative,Licensed,Licensed,N,R_06_MSRR,Y,Y,79,19490418,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.02,-123.12,N,Irrigation,2021
A013030B,Appropriative,Licensed,Licensed,N,R_06_MSRR,Y,Y,80,19490418,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,6.06,3.03,18.37,27.2,15.83,4.5,0,0,N,N,N,N,N,39.02,-123.12,N,Irrigation,2021
A013062,Appropriative,Licensed,Licensed,N,R_17_MSRR,Y,N,53,19490429,APPLICATION_RECD_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,38.54,-122.86,N,Irrigation,2021
A013076,Appropriative,Licensed,Licensed,N,R_18_MSRR,Y,N,54,19490509,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0.93,1.6,0.8,2.06,0,0,0,0,0,N,N,N,N,N,38.51,-122.88,N,Irrigation,2021
A013097,Appropriative,Licensed,Licensed,N,R_17_MSRR,Y,N,55,19490517,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,38.53,-122.85,N,Domestic,2021
A013098,Appropriative,Licensed,Licensed,N,R_17_MSRR,Y,N,56,19490517,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,6.67E-03,0.01,0.66,1.85,0.925,3.5,3.33,2.73,3.91,0,0,N,N,N,N,N,38.53,-122.86,N,Irrigation,2021
A013105,Appropriative,Licensed,Licensed,N,R_18_MSRR,Y,N,57,19490519,APPLICATION_RECD_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,38.51,-122.87,N,Irrigation,2021
A013126A,Appropriative,Licensed,Licensed,N,R_10_MSRR,Y,Y,81,19490601,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0.08,0.2,0.06,0.24,0.83,0.415,1.54,1.95,0.78,0,0,0,N,N,N,N,N,38.67,-122.86,N,Irrigation,2021
A013126B,Appropriative,Licensed,Licensed,N,R_10_MSRR,Y,Y,82,19490601,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0.1,0.73,0.365,1.4,2,1.66,0,0,0,N,N,N,N,N,38.67,-122.85,N,Irrigation,2021
A013135,Appropriative,Licensed,Licensed,N,R_17_MSRR,Y,N,58,19490606,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0.02,0.26,0.13,0.5,0.52,0,0,0,0,N,N,N,N,N,38.52,-122.86,N,Irrigation,2021
A013151,Appropriative,Licensed,Licensed,N,R_17_MSRR,Y,N,59,19490613,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,38.53,-122.86,N,Irrigation,2021
A013161,Appropriative,Licensed,Licensed,N,R_11,N,Y,83,19490620,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0.03,0.02,0.01,0.02,0.03,0.01,0,0,0,N,N,N,N,N,38.64,-122.75,N,Domestic,2021
A013163,Appropriative,Licensed,Licensed,N,R_24,N,N,60,19490620,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,38.5,-122.64,N,Irrigation,2021
A013182A01,Appropriative,Licensed,Licensed,N,R_12_MSRR,Y,Y,84,19490629,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0.33,2.75,1.375,2.83,3,3.33,0.74,0,0,N,N,N,N,N,38.63,-122.79,N,Irrigation,2021
A013182A02,Appropriative,Licensed,Licensed,N,R_12_MSRR,Y,Y,85,19490629,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0.3,0.66,0.33,1.2,1.4,1.1,0.6,0,0,N,N,N,N,N,38.65,-122.78,N,Irrigation,2021
A013182B,Appropriative,Licensed,Licensed,N,R_12_MSRR,Y,Y,86,19490629,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,1.2,2.76,1.38,5.06,6,4.63,2.46,0,0,N,N,N,N,N,38.62,-122.78,N,Irrigation,2021
A013217,Appropriative,Permitted,Permitted,N,R_12_MSRR,Y,Y,87,19490708,PRIORITY_DATE,PRE-1949+1949,0,0,0,0,31.66,77.56,38.78,88.45,89.86,78.44,69.19,0,0,N,N,N,N,N,38.63,-122.85,N,Municipal,2021
A013221,Appropriative,Licensed,Licensed,N,R_27,N,N,61,19490708,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,2.94,0,0,0,0,0,0,0,0,0,0,0,0,N,N,Y,N,N,38.39,-122.61,N,Irrigation,2021
A013256,Appropriative,Licensed,Licensed,N,R_25,N,N,62,19490725,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,38.41,-122.82,N,Irrigation,2021
A013261,Appropriative,Licensed,Licensed,N,R_18_MSRR,Y,N,63,19490726,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0.13,0.15,0.3,0.15,0.2,0.31,0.21,0.29,0.13,0,N,N,N,N,N,38.51,-122.87,N,Irrigation,2021
A013267,Appropriative,Licensed,Licensed,N,R_17_MSRR,Y,N,64,19490728,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,1.4,4.76,2.38,10.43,14.1,5.63,0.96,0,0,N,N,N,N,N,38.56,-122.85,N,Irrigation,2021
A013268,Appropriative,Licensed,Licensed,N,R_17_MSRR,Y,N,65,19490728,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,38.53,-122.85,N,Irrigation,2021
A013269,Appropriative,Licensed,Licensed,N,R_24_LSR,Y,N,66,19490728,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,38.49,-122.87,N,Irrigation,2021
A013270,Appropriative,Licensed,Licensed,N,R_04_MSRR,Y,Y,88,19490729,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,13.74,6.87,14.84,8.31,6.16,0,0,0,N,N,N,N,N,39.13,-123.18,N,Irrigation,2021
A013277,Appropriative,Licensed,Licensed,N,R_09_MSRR,Y,Y,89,19490804,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0.33,0,0.23,0.115,0.26,3.26,2.13,0,0,0,N,N,N,N,N,38.81,-123,N,Irrigation,2021
A013281A01,Appropriative,Licensed,Licensed,N,R_12_MSRR,Y,Y,474,19730614,APPLICATION_ACCEPTANCE_DATE,1971-1990,0,0,0,0,5,15.66,7.83,17.64,17.68,17.08,6.57,0,0,N,N,N,N,N,38.63,-122.79,N,Irrigation,2021
A013281A02,Appropriative,Licensed,Licensed,N,R_12_MSRR,Y,Y,475,19730614,PRIORITY_DATE,1971-1990,0,0,0,0,1.66,10.25,5.125,11.43,13.64,10.17,7.87,0,0,N,N,N,N,N,38.63,-122.79,N,Irrigation,2021
A013281A03,Appropriative,Licensed,Licensed,N,R_12_MSRR,Y,Y,476,19730614,APPLICATION_ACCEPTANCE_DATE,1971-1990,0,0,0,0,0.7,1.63,0.815,3.03,3.56,2.73,1.46,0,0,N,N,N,N,N,38.64,-122.78,N,Irrigation,2021
A013281B,Appropriative,Licensed,Licensed,N,R_12_MSRR,Y,Y,90,19490808,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,38.62,-122.78,N,Irrigation,2021
A013287,Appropriative,Licensed,Licensed,N,R_04_MSRR,Y,Y,91,19490809,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,1.03,1.53,2.66,2.8,1.4,4.53,2.86,1.3,1.03,0,0,N,N,N,N,N,39.13,-123.18,N,Irrigation,2021
A013288,Appropriative,Licensed,Licensed,N,R_04_MSRR,Y,Y,92,19490809,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,8.76,4.38,9.7,7.73,6.5,8.9,0,0,N,N,N,N,N,39.13,-123.18,N,Irrigation,2021
A013289,Appropriative,Licensed,Licensed,N,R_09_MSRR,Y,Y,93,19490809,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,1.1,0.55,2.5,1.4,0,0,0,0,N,N,N,N,N,38.8,-122.99,N,Irrigation,2021
A013301,Appropriative,Licensed,Licensed,N,R_25,N,N,67,19490817,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0.09,2.25,3.31,3.31,1.655,3.31,3.31,3.31,1.19,0.04,0,N,N,N,N,N,38.43,-122.84,N,Irrigation,2021
A013317,Appropriative,Licensed,Licensed,N,R_21_MSRR,Y,N,68,19490829,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,6,13,13,6.5,13,13,13,7,0,0,N,N,N,N,N,38.46,-123.05,N,Irrigation,2021
A013330,Appropriative,Licensed,Licensed,N,R_26,N,N,69,19490906,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,38.44,-122.8,N,Irrigation,2021
A013331,Appropriative,Licensed,Licensed,N,R_12_MSRR,Y,Y,94,19490906,APPLICATION_RECD_DATE,PRE-1949+1949,0,0,0,0.2,0.14,0.33,0.165,1.41,1.76,1.18,0.94,0.14,0,N,N,N,N,N,38.64,-122.8,N,Irrigation,2021
A013359,Appropriative,Licensed,Licensed,N,R_16,N,N,70,19490920,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,4.76,4.73,15.83,7.915,6.13,6.73,2.73,0,0,0,N,N,N,N,N,38.64,-122.97,N,Irrigation,2021
A013376,Appropriative,Licensed,Licensed,N,R_24,N,N,71,19491003,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,38.5,-122.79,N,Irrigation,2021
A013384,Appropriative,Licensed,Licensed,N,R_18_MSRR,Y,N,72,19491005,PRIORITY_DATE,PRE-1949+1949,0,0,0,0,0,0,0,4.21,1.17,0,0,0,0,N,N,N,N,N,38.51,-122.88,N,Irrigation,2021
A013391,Appropriative,Licensed,Licensed,N,R_12_MSRR,Y,Y,95,19491007,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,38.65,-122.8,N,Irrigation,2021
A013393,Appropriative,Licensed,Licensed,N,R_24_LSR,Y,N,73,19491011,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,5.23,12.03,6.015,17.16,17.2,0,0,0,0,N,N,N,N,N,38.49,-122.86,N,Irrigation,2021
A013453,Appropriative,Licensed,Licensed,N,R_17_MSRR,Y,N,74,19491109,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,3.66,7.86,3.93,10.63,10.7,10.7,2.36,3,0,N,N,N,N,N,38.56,-122.84,N,Irrigation,2021
A013468,Appropriative,Licensed,Licensed,N,R_12_MSRR,Y,Y,96,19491117,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0.29,0.58,0.29,0.58,0.49,0.54,0.39,0,0,N,N,N,N,N,38.63,-122.82,N,Irrigation,2021
A013474,Appropriative,Licensed,Licensed,N,R_10_MSRR,Y,Y,97,19491121,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0.41,1.75,0.875,4.48,6.55,6.38,0.45,0.29,0,N,N,N,N,N,38.68,-122.85,N,Irrigation,2021
A013527,Appropriative,Licensed,Licensed,N,R_27,N,N,75,19500103,APPLICATION_ACCEPTANCE_DATE,1950-1952,7.67E-03,7.67E-03,0,0,0,0,0,0,0,0,0,0,0,N,N,Y,N,N,38.46,-122.62,N,Irrigation,2021
A013528,Appropriative,Licensed,Licensed,N,R_05_MSRR,Y,Y,98,19500103,APPLICATION_ACCEPTANCE_DATE,1950-1952,0,0,0,0,1.44,2.72,1.36,4.9,3.69,2.41,1.11,0,0,N,N,N,N,N,39.1,-123.18,N,Irrigation,2021
A013529,Appropriative,Licensed,Licensed,N,R_02_MSRR,Y,Y,99,19500103,APPLICATION_ACCEPTANCE_DATE,1950-1952,0,0,3.83,3,3.31,3.7,1.85,4.22,1.03,2.54,3.58,0,0,N,N,N,N,N,39.36,-123.12,N,Irrigation,2021
A013684B,Appropriative,Licensed,Licensed,N,R_17_MSRR,Y,N,79,19500411,APPLICATION_ACCEPTANCE_DATE,1950-1952,0,0,0,0,0.16,0.46,0.23,0.87,0.86,0.59,0.26,0,0,N,N,N,N,N,38.52,-122.86,N,Irrigation,2021
