,USER,2022-06_DEMAND,2022-06_ALLOCATIONS_AF,2022-06_PERCENT_ALLOCATION,BASIN,PRIORITY
133,S016841,0,0,100.0,R_06,10000000
134,S016842,0,0,100.0,R_06,10000000
135,S016885,0,0,100.0,R_06,10000000
136,S016886,0,0,100.0,R_06,10000000
137,S016887,0,0,100.0,R_06,10000000
143,S017049,0,0,100.0,R_06,10000000
144,S017050,0,0,100.0,R_06,10000000
145,S017052,0,0,100.0,R_06,10000000
147,S017309,0,0,100.0,R_06,10000000
148,S017312,0,0,100.0,R_06,10000000
156,S018130,0,0,100.0,R_06,10000000
157,S018133,0,0,100.0,R_06,10000000
158,S018151,0,0,100.0,R_06,10000000
159,S018154,0,0,100.0,R_06,10000000
160,S018187,0.035,0.035,100.0,R_06,10000000
161,S018193,0,0,100.0,R_06,10000000
162,S018208,0,0,100.0,R_06,10000000
164,S018214,0,0,100.0,R_06,10000000
165,S018217,0,0,100.0,R_06,10000000
166,S018220,0,0,100.0,R_06,10000000
167,S018223,0.025,0.025,100.0,R_06,10000000
168,S018474,0,0,100.0,R_06,10000000
169,S018477,0,0,100.0,R_06,10000000
171,S018480,0,0,100.0,R_06,10000000
179,S019220,0,0,100.0,R_06,10000000
209,S021080,0,0,100.0,R_06,10000000
217,S021394,0,0,100.0,R_06,10000000
218,S021395,0,0,100.0,R_06,10000000
219,S021396,0,0,100.0,R_06,10000000
220,S021397,0,0,100.0,R_06,10000000
222,S021399,0,0,100.0,R_06,10000000
250,S022386,0,0,100.0,R_06,10000000
257,S022490,0.000460335,0.000460335,100.0,R_06,10000000
260,S022799,0,0,100.0,R_06,10000000
261,S022800,0,0,100.0,R_06,10000000
262,S022801,0,0,100.0,R_06,10000000
263,S022803,0.05,0.05,100.0,R_06,10000000
264,S022804,0,0,100.0,R_06,10000000
269,S022914,0,0,100.0,R_06,10000000
274,S023711,0.175,0.175,100.0,R_06,10000000
275,S023712,0,0,100.0,R_06,10000000
279,S023869,0,0,100.0,R_06,10000000
280,S023870,0,0,100.0,R_06,10000000
281,S023896,0,0,100.0,R_06,10000000
282,S023897,0.17,0.17,100.0,R_06,10000000
283,S023932,0,0,100.0,R_06,10000000
286,S023995,0,0,100.0,R_06,10000000
287,S023996,0,0,100.0,R_06,10000000
288,S023997,0,0,100.0,R_06,10000000
289,S024097,0,0,100.0,R_06,10000000
295,S024445,0,0,100.0,R_06,10000000
297,S024464,0,0,100.0,R_06,10000000
310,S026464,0,0,100.0,R_06,10000000
311,S026643,0.045,0.045,100.0,R_06,10000000
313,S026645,0.01,0.01,100.0,R_06,10000000
314,S026652,0.04,0.04,100.0,R_06,10000000
315,S026656,0,0,100.0,R_06,10000000
320,S026745,0,0,100.0,R_06,10000000
321,S026754,0,0,100.0,R_06,10000000
324,S026797,0.04,0.04,100.0,R_06,10000000
325,S026889,0,0,100.0,R_06,10000000
327,S026934,0.24,0.24,100.0,R_06,10000000
331,S027081,0,0,100.0,R_06,10000000
332,S027088,0.03,0.03,100.0,R_06,10000000
333,S027089,0.015,0.015,100.0,R_06,10000000
334,S027090,0.01,0.01,100.0,R_06,10000000
335,S027091,0.025,0.025,100.0,R_06,10000000
337,S027159,0.02,0.02,100.0,R_06,10000000
341,S027371,0,0,100.0,R_06,10000000
350,S027597,0.003,0.003,100.0,R_06,10000000
353,S027650,0.005,0.005,100.0,R_06,10000000
354,S027664,0.0015,0.0015,100.0,R_06,10000000
356,S027865,0,0,100.0,R_06,10000000
358,S028257,0,0,100.0,R_06,10000000
359,S028258,0,0,100.0,R_06,10000000
360,S028280,0.105,0.105,100.0,R_06,10000000
2,S008074,0,0,47.5,R_06_MSRR,10000000
47,S015041,2.18,1.03624338,47.5,R_06_MSRR,10000000
48,S015042,0,0,47.5,R_06_MSRR,10000000
49,S015043,0.255,0.121211955,47.5,R_06_MSRR,10000000
55,S015184,6.15,2.92334715,47.5,R_06_MSRR,10000000
56,S015199,0,0,47.5,R_06_MSRR,10000000
57,S015200,0,0,47.5,R_06_MSRR,10000000
58,S015201,0,0,47.5,R_06_MSRR,10000000
59,S015202,0,0,47.5,R_06_MSRR,10000000
63,S015313,0,0,47.5,R_06_MSRR,10000000
64,S015314,0,0,47.5,R_06_MSRR,10000000
65,S015315,0,0,47.5,R_06_MSRR,10000000
66,S015316,0,0,47.5,R_06_MSRR,10000000
67,S015317,0,0,47.5,R_06_MSRR,10000000
68,S015318,0.065,0.030897165,47.5,R_06_MSRR,10000000
73,S015349,0,0,47.5,R_06_MSRR,10000000
76,S015477,0,0,47.5,R_06_MSRR,10000000
77,S015478,0,0,47.5,R_06_MSRR,10000000
78,S015479,0,0,47.5,R_06_MSRR,10000000
79,S015480,0,0,47.5,R_06_MSRR,10000000
94,S015924,2.01,0.95543541,47.5,R_06_MSRR,10000000
137,S018136,0,0,47.5,R_06_MSRR,10000000
138,S018139,0,0,47.5,R_06_MSRR,10000000
147,S019196,0,0,47.5,R_06_MSRR,10000000
149,S019932,0,0,47.5,R_06_MSRR,10000000
159,S020788,0,0,47.5,R_06_MSRR,10000000
171,S022008,0,0,47.5,R_06_MSRR,10000000
197,S024444,0,0,47.5,R_06_MSRR,10000000
198,S024466,0,0,47.5,R_06_MSRR,10000000
199,S024467,0,0,47.5,R_06_MSRR,10000000
37,S012533,0,0,100.0,R_07,10000000
231,S021994,0,0,100.0,R_07,10000000
234,S021997,0,0,100.0,R_07,10000000
235,S021998,0,0,100.0,R_07,10000000
236,S021999,0,0,100.0,R_07,10000000
238,S022001,0,0,100.0,R_07,10000000
47,S013792,0.015,0.015,100.0,R_08,10000000
48,S013793,0.005,0.005,100.0,R_08,10000000
83,S015549,0,0,100.0,R_08,10000000
102,S015871,0,0,100.0,R_08,10000000
115,S016690,0.002872,0.002872,100.0,R_08,10000000
172,S018483,0,0,100.0,R_08,10000000
173,S018486,0,0,100.0,R_08,10000000
230,S021993,0,0,100.0,R_08,10000000
232,S021995,0,0,100.0,R_08,10000000
233,S021996,0,0,100.0,R_08,10000000
237,S022000,0,0,100.0,R_08,10000000
239,S022002,0,0,100.0,R_08,10000000
240,S022003,0,0,100.0,R_08,10000000
241,S022004,0,0,100.0,R_08,10000000
291,S024372,0,0,100.0,R_08,10000000
299,S024526,0,0,100.0,R_08,10000000
4,S006298,0,0,100.0,R_09,10000000
5,S006491,0.165,0.165,100.0,R_09,10000000
8,S008118,0,0,100.0,R_09,10000000
9,S008121,0,0,100.0,R_09,10000000
10,S008122,0,0,100.0,R_09,10000000
45,S013246,1.01,1.01,100.0,R_09,10000000
103,S015903,0,0,100.0,R_09,10000000
105,S015950,0,0,100.0,R_09,10000000
109,S016044,0,0,100.0,R_09,10000000
180,S019235,0,0,100.0,R_09,10000000
187,S019893,0,0,100.0,R_09,10000000
197,S020175,0.6,0.6,100.0,R_09,10000000
198,S020240,0,0,100.0,R_09,10000000
247,S022316,0,0,100.0,R_09,10000000
248,S022326,0,0,100.0,R_09,10000000
249,S022339,0,0,100.0,R_09,10000000
276,S023728,0,0,100.0,R_09,10000000
277,S023729,0,0,100.0,R_09,10000000
278,S023862,0.995,0.995,100.0,R_09,10000000
11,S013696,4.1,1.9488981,47.5,R_09_MSRR,10000000
12,S014005,0,0,47.5,R_09_MSRR,10000000
19,S014071,0.515,0.244800615,47.5,R_09_MSRR,10000000
20,S014072,0,0,47.5,R_09_MSRR,10000000
21,S014073,0.565,0.268567665,47.5,R_09_MSRR,10000000
22,S014074,0.265,0.125965365,47.5,R_09_MSRR,10000000
23,S014077,0,0,47.5,R_09_MSRR,10000000
24,S014078,0,0,47.5,R_09_MSRR,10000000
25,S014079,1.515,0.720141615,47.5,R_09_MSRR,10000000
32,S014200,0,0,47.5,R_09_MSRR,10000000
91,S015816,0.55,0.26143755,47.5,R_09_MSRR,10000000
92,S015874,0,0,47.5,R_09_MSRR,10000000
93,S015884,0.055,0.026143755,47.5,R_09_MSRR,10000000
103,S015990,1.005,0.477717705,47.5,R_09_MSRR,10000000
108,S016045,0.155,0.073677855,47.5,R_09_MSRR,10000000
132,S017987,0,0,47.5,R_09_MSRR,10000000
133,S017990,0.17,0.08080797,47.5,R_09_MSRR,10000000
135,S017993,0.085,0.040403985,47.5,R_09_MSRR,10000000
136,S017995,2.11,1.00296951,47.5,R_09_MSRR,10000000
145,S018710,0.5,0.2376705,47.5,R_09_MSRR,10000000
170,S021480,1.675,0.796196175,47.5,R_09_MSRR,10000000
174,S022013,0.33,0.15686253,47.5,R_09_MSRR,10000000
175,S022014,0,0,47.5,R_09_MSRR,10000000
178,S022464,0.52,0.24717732,47.5,R_09_MSRR,10000000
179,S022523,0.02,0.00950682,47.5,R_09_MSRR,10000000
182,S022868,0.33,0.15686253,47.5,R_09_MSRR,10000000
183,S022869,0,0,47.5,R_09_MSRR,10000000
184,S022870,0,0,47.5,R_09_MSRR,10000000
189,S023695,0.48,0.22816368,47.5,R_09_MSRR,10000000
190,S023696,0.715,0.339868815,47.5,R_09_MSRR,10000000
191,S023697,0.965,0.458704065,47.5,R_09_MSRR,10000000
200,S024509,0.6,0.2852046,47.5,R_09_MSRR,10000000
202,S024681,0.63,0.29946483,47.5,R_09_MSRR,10000000
203,S024682,0.08,0.03802728,47.5,R_09_MSRR,10000000
205,S025481,0,0,47.5,R_09_MSRR,10000000
206,S025482,0,0,47.5,R_09_MSRR,10000000
207,S025489,1.615,0.767675715,47.5,R_09_MSRR,10000000
208,S025611,0,0,47.5,R_09_MSRR,10000000
46,S013724,0,0,100.0,R_10,10000000
54,S014230,1.67,1.67,100.0,R_10,10000000
55,S014231,2,2,100.0,R_10,10000000
107,S015965,1.475,1.475,100.0,R_10,10000000
110,S016304,2.805,2.805,100.0,R_10,10000000
155,S017975,0,0,100.0,R_10,10000000
163,S018211,0,0,100.0,R_10,10000000
175,S018763,0,0,100.0,R_10,10000000
177,S019202,0,0,100.0,R_10,10000000
178,S019214,0,0,100.0,R_10,10000000
199,S020289,0,0,100.0,R_10,10000000
200,S020290,0,0,100.0,R_10,10000000
201,S020291,0,0,100.0,R_10,10000000
202,S020293,0,0,100.0,R_10,10000000
203,S020294,0,0,100.0,R_10,10000000
13,S014057,1.165,0.553772265,47.5,R_10_MSRR,10000000
14,S014062,0,0,47.5,R_10_MSRR,10000000
15,S014063,0,0,47.5,R_10_MSRR,10000000
16,S014064,0,0,47.5,R_10_MSRR,10000000
17,S014065,0,0,47.5,R_10_MSRR,10000000
18,S014066,0.01,0.00475341,47.5,R_10_MSRR,10000000
26,S014086,7.615,3.619721715,47.5,R_10_MSRR,10000000
27,S014087,0,0,47.5,R_10_MSRR,10000000
28,S014088,0.365,0.173499465,47.5,R_10_MSRR,10000000
29,S014089,1.75,0.83184675,47.5,R_10_MSRR,10000000
30,S014092,2.55,1.21211955,47.5,R_10_MSRR,10000000
31,S014094,0.85,0.40403985,47.5,R_10_MSRR,10000000
37,S014392,4.675,2.222219175,47.5,R_10_MSRR,10000000
38,S014393,3.055,1.452166755,47.5,R_10_MSRR,10000000
40,S014923,0,0,47.5,R_10_MSRR,10000000
43,S015035,4.38,2.08199358,47.5,R_10_MSRR,10000000
44,S015036,0.05,0.02376705,47.5,R_10_MSRR,10000000
45,S015037,0.13,0.06179433,47.5,R_10_MSRR,10000000
46,S015038,0,0,47.5,R_10_MSRR,10000000
51,S015093,0.01,0.00475341,47.5,R_10_MSRR,10000000
52,S015094,0,0,47.5,R_10_MSRR,10000000
53,S015107,1,0.475341,47.5,R_10_MSRR,10000000
62,S015246,0.38,0.18062958,47.5,R_10_MSRR,10000000
70,S015336,0.655,0.311348355,47.5,R_10_MSRR,10000000
71,S015337,0.655,0.311348355,47.5,R_10_MSRR,10000000
72,S015338,0.06,0.02852046,47.5,R_10_MSRR,10000000
75,S015472,1.535,0.729648435,47.5,R_10_MSRR,10000000
80,S015522,0,0,47.5,R_10_MSRR,10000000
85,S015751,0.045,0.021390345,47.5,R_10_MSRR,10000000
86,S015752,0.645,0.306594945,47.5,R_10_MSRR,10000000
87,S015753,0,0,47.5,R_10_MSRR,10000000
95,S015935,0,0,47.5,R_10_MSRR,10000000
96,S015942,0,0,47.5,R_10_MSRR,10000000
97,S015945,0.1,0.0475341,47.5,R_10_MSRR,10000000
98,S015951,0,0,47.5,R_10_MSRR,10000000
100,S015962,0.98,0.46583418,47.5,R_10_MSRR,10000000
101,S015963,0,0,47.5,R_10_MSRR,10000000
102,S015964,0,0,47.5,R_10_MSRR,10000000
104,S016021,0,0,47.5,R_10_MSRR,10000000
105,S016022,0.06,0.02852046,47.5,R_10_MSRR,10000000
106,S016023,0.78,0.37076598,47.5,R_10_MSRR,10000000
107,S016024,0,0,47.5,R_10_MSRR,10000000
109,S016063,0.45,0.21390345,47.5,R_10_MSRR,10000000
110,S016064,0,0,47.5,R_10_MSRR,10000000
112,S016118,0.28,0.13309548,47.5,R_10_MSRR,10000000
113,S016164,0.215,0.102198315,47.5,R_10_MSRR,10000000
114,S016165,0.05,0.02376705,47.5,R_10_MSRR,10000000
115,S016166,0,0,47.5,R_10_MSRR,10000000
116,S016167,0.05,0.02376705,47.5,R_10_MSRR,10000000
129,S017039,0.64,0.30421824,47.5,R_10_MSRR,10000000
134,S017992,0,0,47.5,R_10_MSRR,10000000
141,S018467,0.065,0.030897165,47.5,R_10_MSRR,10000000
142,S018470,0.14,0.06654774,47.5,R_10_MSRR,10000000
143,S018473,0,0,47.5,R_10_MSRR,10000000
144,S018490,0.075,0.035650575,47.5,R_10_MSRR,10000000
146,S018787,0,0,47.5,R_10_MSRR,10000000
150,S020083,0,0,47.5,R_10_MSRR,10000000
151,S020086,0,0,47.5,R_10_MSRR,10000000
152,S020090,0,0,47.5,R_10_MSRR,10000000
153,S020091,0,0,47.5,R_10_MSRR,10000000
154,S020094,0,0,47.5,R_10_MSRR,10000000
155,S020098,1.83,0.86987403,47.5,R_10_MSRR,10000000
156,S020102,0,0,47.5,R_10_MSRR,10000000
157,S020356,0.58,0.27569778,47.5,R_10_MSRR,10000000
165,S021470,0,0,47.5,R_10_MSRR,10000000
166,S021471,0,0,47.5,R_10_MSRR,10000000
167,S021472,0,0,47.5,R_10_MSRR,10000000
168,S021473,0.68,0.32323188,47.5,R_10_MSRR,10000000
172,S022009,0,0,47.5,R_10_MSRR,10000000
173,S022012,0,0,47.5,R_10_MSRR,10000000
186,S022889,0,0,47.5,R_10_MSRR,10000000
187,S022890,0,0,47.5,R_10_MSRR,10000000
194,S023956,0.465,0.221033565,47.5,R_10_MSRR,10000000
69,S014973,0.01,0.01,100.0,R_11,10000000
70,S014974,0.01,0.01,100.0,R_11,10000000
71,S014975,0.01,0.01,100.0,R_11,10000000
72,S014976,0.01,0.01,100.0,R_11,10000000
73,S014977,0.01,0.01,100.0,R_11,10000000
74,S014978,0.003366667,0.003366667,100.0,R_11,10000000
75,S014979,0.003366667,0.003366667,100.0,R_11,10000000
76,S014980,0.003366667,0.003366667,100.0,R_11,10000000
87,S015721,0,0,100.0,R_11,10000000
88,S015722,0,0,100.0,R_11,10000000
89,S015723,0,0,100.0,R_11,10000000
92,S015758,0.34,0.34,100.0,R_11,10000000
93,S015759,0.0005,0.0005,100.0,R_11,10000000
108,S015989,0,0,100.0,R_11,10000000
204,S020433,0,0,100.0,R_11,10000000
208,S021071,0,0,100.0,R_11,10000000
292,S024404,0.16,0.16,100.0,R_11,10000000
293,S024405,0.17,0.17,100.0,R_11,10000000
345,S027413,0.05,0.05,100.0,R_11,10000000
3,S004997,0,0,100.0,R_12,10000000
17,S008703,0,0,100.0,R_12,10000000
28,S010999,0,0,100.0,R_12,10000000
30,S012241,0.01,0.01,100.0,R_12,10000000
36,S012484,0,0,100.0,R_12,10000000
95,S015813,0.295,0.295,100.0,R_12,10000000
98,S015833,0,0,100.0,R_12,10000000
99,S015840,0,0,100.0,R_12,10000000
100,S015850,0,0,100.0,R_12,10000000
101,S015863,0,0,100.0,R_12,10000000
104,S015910,0,0,100.0,R_12,10000000
106,S015953,0,0,100.0,R_12,10000000
113,S016399,0,0,100.0,R_12,10000000
118,S016773,0,0,100.0,R_12,10000000
119,S016774,0.43,0.43,100.0,R_12,10000000
120,S016775,0,0,100.0,R_12,10000000
121,S016776,0,0,100.0,R_12,10000000
122,S016777,0,0,100.0,R_12,10000000
126,S016790,0,0,100.0,R_12,10000000
139,S016901,0,0,100.0,R_12,10000000
186,S019738,0,0,100.0,R_12,10000000
188,S019908,0,0,100.0,R_12,10000000
