,yyyy-mm-dd,m/d/yyyy,yyyy-m-d,yyyy-mm
92,2021-08-01,8/1/2021,2021-8-1,2021-08
93,2021-08-02,8/2/2021,2021-8-2,2021-08
94,2021-08-03,8/3/2021,2021-8-3,2021-08
95,2021-08-04,8/4/2021,2021-8-4,2021-08
96,2021-08-05,8/5/2021,2021-8-5,2021-08
97,2021-08-06,8/6/2021,2021-8-6,2021-08
98,2021-08-07,8/7/2021,2021-8-7,2021-08
99,2021-08-08,8/8/2021,2021-8-8,2021-08
100,2021-08-09,8/9/2021,2021-8-9,2021-08
101,2021-08-10,8/10/2021,2021-8-10,2021-08
102,2021-08-11,8/11/2021,2021-8-11,2021-08
103,2021-08-12,8/12/2021,2021-8-12,2021-08
104,2021-08-13,8/13/2021,2021-8-13,2021-08
105,2021-08-14,8/14/2021,2021-8-14,2021-08
106,2021-08-15,8/15/2021,2021-8-15,2021-08
107,2021-08-16,8/16/2021,2021-8-16,2021-08
108,2021-08-17,8/17/2021,2021-8-17,2021-08
109,2021-08-18,8/18/2021,2021-8-18,2021-08
110,2021-08-19,8/19/2021,2021-8-19,2021-08
111,2021-08-20,8/20/2021,2021-8-20,2021-08
112,2021-08-21,8/21/2021,2021-8-21,2021-08
113,2021-08-22,8/22/2021,2021-8-22,2021-08
114,2021-08-23,8/23/2021,2021-8-23,2021-08
115,2021-08-24,8/24/2021,2021-8-24,2021-08
116,2021-08-25,8/25/2021,2021-8-25,2021-08
117,2021-08-26,8/26/2021,2021-8-26,2021-08
118,2021-08-27,8/27/2021,2021-8-27,2021-08
119,2021-08-28,8/28/2021,2021-8-28,2021-08
120,2021-08-29,8/29/2021,2021-8-29,2021-08
121,2021-08-30,8/30/2021,2021-8-30,2021-08
122,2021-08-31,8/31/2021,2021-8-31,2021-08
123,2021-09-01,9/1/2021,2021-9-1,2021-09
